time_s,current_A,voltage_V
6730.98999999999,107.7475,3.414816
6731.98999999999,107.7636,3.414763
6732.98999999999,107.7673,3.414816
6733.98999999999,107.7468,3.414816
6734.98999999999,107.753,3.41487
6735.98999999999,107.7586,3.414923
6736.98999999999,107.7716,3.414923
6737.98999999999,107.7512,3.414977
6738.98999999999,107.7574,3.41503
6739.98999999999,107.7537,3.415083
6740.98999999999,107.7648,3.41503
6741.98999999999,107.7493,3.415083
6742.98999999999,107.7344,3.415137
6743.98999999999,107.7506,3.415137
6744.98999999999,107.7388,3.41519
6745.98999999999,107.7413,3.415243
6746.98999999999,107.7388,3.415243
6747.98999999999,107.7599,3.415297
6748.98999999999,107.7406,3.415297
6749.98999999999,107.7301,3.41535
6750.98999999999,107.7524,3.41535
6751.98999999999,107.7537,3.415404
6752.98999999999,107.7251,3.415457
6753.98999999999,107.7202,3.41551
6754.98999999999,107.7413,3.415457
6755.98999999999,107.7338,3.41551
6756.98999999999,107.7499,3.41551
6757.98999999999,107.7208,3.415617
6758.98999999999,107.727,3.415617
6759.98999999999,107.7351,3.41567
6760.98999999999,107.722,3.415617
6761.98999999999,107.7549,3.415724
6762.98999999999,107.7394,3.41567
6763.98999999999,107.7158,3.415777
6764.98999999999,107.7078,3.415831
6765.98999999999,107.74,3.415831
6766.98999999999,107.7127,3.415831
6767.98999999999,107.7208,3.415884
6768.98999999999,107.7264,3.415884
6769.98999999999,107.714,3.415937
6770.98999999999,107.7419,3.415991
6771.98999999999,107.7214,3.415991
6772.98999999999,107.7419,3.416044
6773.98999999999,107.7289,3.416097
6774.98999999999,107.722,3.416097
6775.98999999999,107.7177,3.416151
6776.98999999999,107.6985,3.416258
6777.98999999999,107.701,3.416204
6778.98999999999,107.7307,3.416258
6779.98999999999,107.7065,3.416311
6780.98999999999,107.7115,3.416364
6781.98999999999,107.7103,3.416311
6782.98999999999,107.7115,3.416364
6783.98999999999,107.7003,3.416418
6784.98999999999,107.691,3.416471
6785.98999999999,107.6898,3.416418
6786.98999999999,107.7053,3.416471
6787.98999999999,107.6979,3.416471
6788.98999999999,107.7041,3.416578
6789.98999999999,107.709,3.416578
6790.98999999999,107.7028,3.416631
6791.98999999999,107.6879,3.416631
6792.98999999999,107.6929,3.416684
6793.98999999999,107.6972,3.416738
6794.98999999999,107.6979,3.416791
6795.98999999999,107.6594,3.416738
6796.98999999999,107.7109,3.416845
6797.98999999999,107.7096,3.416898
6798.98999999999,107.7047,3.416898
6799.98999999999,107.696,3.416951
6800.98999999999,107.678,3.416951
6801.98999999999,107.678,3.416951
6802.98999999999,107.6991,3.417005
6803.98999999999,107.6811,3.417058
6804.98999999999,107.6985,3.417058
6805.98999999999,107.691,3.417058
6806.98999999999,107.6774,3.417165
6807.98999999999,107.6855,3.417218
6808.98999999999,107.6941,3.417165
6809.98999999999,107.701,3.417218
6810.98999999999,107.6855,3.417272
6811.98999999999,107.6582,3.417272
6812.98999999999,107.6855,3.417325
6813.98999999999,107.6662,3.417378
6814.98999999999,107.6675,3.417378
6815.98999999999,107.6786,3.417432
6816.98999999999,107.678,3.417485
6817.98999999999,107.6681,3.417538
6818.98999999999,107.6613,3.417538
6819.98999999999,107.6662,3.417538
6820.98999999999,107.6576,3.417592
6821.98999999999,107.6557,3.417645
6822.98999999999,107.6588,3.417699
6823.98999999999,107.6483,3.417752
6824.98999999999,107.6538,3.417752
6825.98999999999,107.6582,3.417805
6826.98999999999,107.6557,3.417805
6827.98999999999,107.6638,3.417859
6828.98999999999,107.6576,3.417965
6829.98999999999,107.6693,3.417965
6830.98999999999,107.6476,3.418019
6831.98999999999,107.6532,3.417965
6832.98999999999,107.66,3.418019
6833.98999999999,107.6495,3.418072
6834.98999999999,107.652,3.418179
6835.98999999999,107.665,3.418179
6836.98999999999,107.6452,3.418179
6837.98999999999,107.6414,3.418232
6838.98999999999,107.6588,3.418286
6839.98999999999,107.6445,3.418286
6840.98999999999,107.6644,3.418339
6841.98999999999,107.6476,3.418392
6842.98999999999,107.6377,3.418392
6843.98999999999,107.6383,3.418446
6844.98999999999,107.639,3.418446
6845.98999999999,107.6179,3.418552
6846.98999999999,107.6501,3.418606
6847.98999999999,107.639,3.418552
6848.98999999999,107.6365,3.418659
6849.98999999999,107.6067,3.418659
6850.98999999999,107.6228,3.418766
6851.98999999999,107.6402,3.418713
6852.98999999999,107.6259,3.418766
6853.98999999999,107.6228,3.418766
6854.98999999999,107.6303,3.418819
6855.98999999999,107.6197,3.418979
6856.98999999999,107.6297,3.418979
6857.98999999999,107.6402,3.418926
6858.98999999999,107.6179,3.419033
6859.98999999999,107.6197,3.419086
6860.98999999999,107.6142,3.419086
6861.98999999999,107.6346,3.419193
6862.98999999999,107.6321,3.419193
6863.98999999999,107.6185,3.419193
6864.98999999999,107.6129,3.4193
6865.98999999999,107.6253,3.4193
6866.98999999999,107.6104,3.419353
6867.98999999999,107.6272,3.419406
6868.98999999999,107.6154,3.419406
6869.98999999999,107.6179,3.41946
6870.98999999999,107.6086,3.419513
6871.98999999999,107.608,3.419566
6872.98999999999,107.5993,3.41962
6873.98999999999,107.6098,3.41962
6874.98999999999,107.6049,3.41962
6875.98999999999,107.5726,3.419673
6876.98999999999,107.6061,3.41978
6877.98999999999,107.5813,3.41978
6878.98999999999,107.5993,3.419887
6879.98999999999,107.6073,3.41994
6880.98999999999,107.5875,3.419887
6881.98999999999,107.5943,3.41994
6882.98999999999,107.5881,3.420047
6883.98999999999,107.5912,3.420047
6884.98999999999,107.598,3.420154
6885.98999999999,107.5863,3.420154
6886.98999999999,107.603,3.420207
6887.98999999999,107.603,3.42026
6888.98999999999,107.5912,3.420314
6889.98999999999,107.5894,3.420314
6890.98999999999,107.5993,3.420367
6891.98999999999,107.5782,3.420474
6892.98999999999,107.598,3.420474
6893.98999999999,107.5962,3.420527
6894.98999999999,107.5627,3.420581
6895.98999999999,107.5757,3.420581
6896.98999999999,107.5615,3.420687
6897.98999999999,107.5608,3.420741
6898.98999999999,107.5701,3.420741
6899.98999999999,107.5646,3.420794
6900.98999999999,107.5844,3.420847
6901.98999999999,107.5633,3.420901
6902.98999999999,107.5646,3.420954
6903.98999999999,107.5559,3.421007
6904.98999999999,107.5658,3.421061
6905.98999999999,107.5782,3.421061
6906.98999999999,107.546,3.421061
6907.98999999999,107.546,3.421168
6908.98999999999,107.5515,3.421168
6909.98999999999,107.5757,3.421221
6910.98999999999,107.5441,3.421274
6911.98999999999,107.5689,3.421328
6912.98999999999,107.5546,3.421381
6913.98999999999,107.5342,3.421434
6914.98999999999,107.5906,3.421434
6915.98999999999,107.5714,3.421488
6916.98999999999,107.554,3.421541
6917.98999999999,107.5497,3.421595
6918.98999999999,107.5379,3.421701
6919.98999999999,107.5658,3.421701
6920.98999999999,107.5249,3.421755
6921.98999999999,107.5311,3.421808
6922.98999999999,107.5447,3.421861
6923.98999999999,107.567,3.421915
6924.98999999999,107.5379,3.421915
6925.98999999999,107.5292,3.421968
6926.98999999999,107.5342,3.422075
6927.98999999999,107.5243,3.422075
6928.98999999999,107.5081,3.422128
6929.98999999999,107.5329,3.422235
6930.98999999999,107.5292,3.422235
6931.98999999999,107.5088,3.422288
6932.98999999999,107.5236,3.422342
6933.98999999999,107.5224,3.422342
6934.98999999999,107.5125,3.422395
6935.98999999999,107.5125,3.422448
6936.98999999999,107.515,3.422555
6937.98999999999,107.5224,3.422555
6938.98999999999,107.5143,3.422662
6939.98999999999,107.5007,3.422662
6940.98999999999,107.5019,3.422715
6941.98999999999,107.4988,3.422769
6942.98999999999,107.5026,3.422822
6943.98999999999,107.5007,3.422875
6944.98999999999,107.5162,3.422929
6945.98999999999,107.5063,3.422982
6946.98999999999,107.4939,3.423089
6947.98999999999,107.5131,3.423142
6948.98999999999,107.4926,3.423196
6949.98999999999,107.5019,3.423196
6950.98999999999,107.4902,3.423302
6951.98999999999,107.479,3.423356
6952.98999999999,107.5007,3.423356
6953.98999999999,107.4821,3.423516
6954.98999999999,107.5001,3.423463
6955.98999999999,107.4765,3.423569
6956.98999999999,107.4933,3.423623
6957.98999999999,107.4747,3.423623
6958.98999999999,107.4641,3.423729
6959.98999999999,107.4672,3.423729
6960.98999999999,107.4759,3.423836
6961.98999999999,107.4616,3.423943
6962.98999999999,107.4747,3.423996
6963.98999999999,107.4505,3.42405
6964.98999999999,107.4567,3.424103
6965.98999999999,107.4691,3.424156
6966.98999999999,107.4759,3.42421
6967.98999999999,107.4654,3.424263
6968.98999999999,107.448,3.424263
6969.98999999999,107.4585,3.42437
6970.98999999999,107.4548,3.42437
6971.98999999999,107.4604,3.424477
6972.98999999999,107.4815,3.424477
6973.98999999999,107.4455,3.424583
6974.98999999999,107.4449,3.42469
6975.98999999999,107.4517,3.42469
6976.98999999999,107.43,3.424797
6977.98999999999,107.4418,3.42485
6978.98999999999,107.4505,3.42485
6979.98999999999,107.4418,3.42501
6980.98999999999,107.4207,3.42501
6981.98999999999,107.4412,3.425064
6982.98999999999,107.4213,3.42517
6983.98999999999,107.4232,3.425224
6984.98999999999,107.4158,3.425277
6985.98999999999,107.4375,3.425331
6986.98999999999,107.4282,3.425384
6987.98999999999,107.4257,3.425437
6988.98999999999,107.4282,3.425491
6989.98999999999,107.4077,3.425651
6990.98999999999,107.43,3.425597
6991.98999999999,107.417,3.425757
6992.98999999999,107.422,3.425757
6993.98999999999,107.4052,3.425864
6994.98999999999,107.4319,3.426024
6995.98999999999,107.4232,3.425971
6996.98999999999,107.4046,3.426078
6997.98999999999,107.399,3.426184
6998.98999999999,107.3972,3.426184
6999.98999999999,107.3959,3.426291
7000.98999999999,107.3916,3.426345
7001.98999999999,107.3755,3.426398
7002.98999999999,107.3947,3.426451
7003.98999999999,107.3879,3.426558
7004.98999999999,107.3699,3.426611
7005.98999999999,107.3984,3.426718
7006.98999999999,107.3879,3.426772
7007.98999999999,107.3885,3.426825
7008.98999999999,107.373,3.426878
7009.98999999999,107.3618,3.426985
7010.98999999999,107.3866,3.427038
7011.98999999999,107.381,3.427092
7012.98999999999,107.3779,3.427198
7013.98999999999,107.4027,3.427252
7014.98999999999,107.3761,3.427305
7015.98999999999,107.3668,3.427359
7016.98999999999,107.3618,3.427465
7017.98999999999,107.373,3.427519
7018.98999999999,107.3556,3.427625
7019.98999999999,107.3612,3.427732
7020.98999999999,107.3525,3.427786
7021.98999999999,107.3364,3.427839
7022.98999999999,107.3519,3.427946
7023.98999999999,107.3364,3.427999
7024.98999999999,107.3345,3.428052
7025.98999999999,107.3128,3.428159
7026.98999999999,107.3252,3.428266
7027.98999999999,107.3463,3.428319
7028.98999999999,107.3265,3.428373
7029.98999999999,107.329,3.428479
7030.98999999999,107.3234,3.428533
7031.98999999999,107.3407,3.428639
7032.98999999999,107.3333,3.428693
7033.98999999999,107.3209,3.428746
7034.98999999999,107.2998,3.4288
7035.98999999999,107.2936,3.428906
7036.98999999999,107.3178,3.429013
7037.98999999999,107.324,3.42912
7038.98999999999,107.3259,3.429173
7039.98999999999,107.3023,3.42928
7040.98999999999,107.2967,3.429387
7041.98999999999,107.3011,3.42944
7042.98999999999,107.2887,3.429493
7043.98999999999,107.2911,3.4296
7044.98999999999,107.2831,3.429654
7045.98999999999,107.2856,3.42976
7046.98999999999,107.2657,3.429867
7047.98999999999,107.2812,3.42992
7048.98999999999,107.2949,3.430027
7049.98999999999,107.2645,3.430134
7050.98999999999,107.2769,3.430187
7051.98999999999,107.2756,3.430347
7052.98999999999,107.2725,3.430347
7053.98999999999,107.2694,3.430454
7054.98999999999,107.2744,3.430561
7055.98999999999,107.267,3.430668
7056.98999999999,107.2756,3.430774
7057.98999999999,107.2856,3.430828
7058.98999999999,107.244,3.430934
7059.98999999999,107.2515,3.431095
7060.98999999999,107.244,3.431095
7061.98999999999,107.2397,3.431255
7062.98999999999,107.2378,3.431361
7063.98999999999,107.2229,3.431415
7064.98999999999,107.2298,3.431521
7065.98999999999,107.2378,3.431628
7066.98999999999,107.2353,3.431628
7067.98999999999,107.2422,3.431788
7068.98999999999,107.231,3.431948
7069.98999999999,107.2167,3.432002
7070.98999999999,107.213,3.432162
7071.98999999999,107.1994,3.432215
7072.98999999999,107.2062,3.432322
7073.98999999999,107.2068,3.432429
7074.98999999999,107.2198,3.432589
7075.98999999999,107.2118,3.432642
7076.98999999999,107.1919,3.432749
7077.98999999999,107.1764,3.432909
7078.98999999999,107.1895,3.432962
7079.98999999999,107.1895,3.433069
7080.98999999999,107.1653,3.433176
7081.98999999999,107.1814,3.433283
7082.98999999999,107.1733,3.433336
7083.98999999999,107.169,3.433496
7084.98999999999,107.1783,3.433656
7085.98999999999,107.1591,3.433763
7086.98999999999,107.1361,3.43387
7087.98999999999,107.1541,3.433977
7088.98999999999,107.1529,3.434083
7089.98999999999,107.1479,3.434243
