Cycle,Mean_Retention,CI95_Lower_Retention,CI95_Upper_Retention,Mean_Capacity,CI95_Lower_Capacity,CI95_Upper_Capacity
1582,0.897805851063828,0.880319148936168,0.913563829787232,213.516187500022,209.357500000022,217.263750000023
1583,0.897761524822693,0.880319148936168,0.913563829787232,213.505645833356,209.357500000022,217.263750000023
1584,0.897761524822693,0.880319148936168,0.913563829787232,213.505645833356,209.357500000022,217.263750000023
1585,0.897761524822693,0.880319148936168,0.913563829787232,213.505645833356,209.357500000022,217.263750000023
1586,0.897761524822693,0.880319148936168,0.913563829787232,213.505645833356,209.357500000022,217.263750000023
1587,0.897739361702126,0.880319148936168,0.913563829787232,213.500375000022,209.357500000022,217.263750000023
1588,0.897695035460991,0.880319148936168,0.913563829787232,213.489833333356,209.357500000022,217.263750000023
1589,0.897650709219856,0.880319148936168,0.913563829787232,213.479291666689,209.357500000022,217.263750000023
1590,0.897628546099289,0.880319148936168,0.913563829787232,213.474020833355,209.357500000022,217.263750000023
1591,0.897628546099289,0.880319148936168,0.913563829787232,213.474020833355,209.357500000022,217.263750000023
1592,0.897539893617019,0.87987588652482,0.913563829787232,213.452937500022,209.252083333355,217.263750000023
1593,0.897517730496452,0.87987588652482,0.913563829787232,213.447666666689,209.252083333355,217.263750000023
1594,0.897473404255317,0.87987588652482,0.913563829787232,213.437125000022,209.252083333355,217.263750000023
1595,0.897429078014182,0.87987588652482,0.913563829787232,213.426583333356,209.252083333355,217.263750000023
1596,0.89736258865248,0.87987588652482,0.913120567375885,213.410770833356,209.252083333355,217.158333333356
1597,0.897340425531913,0.87987588652482,0.913120567375885,213.405500000022,209.252083333355,217.158333333356
1598,0.897318262411345,0.87987588652482,0.913120567375885,213.400229166689,209.252083333355,217.158333333356
1599,0.897318262411345,0.87987588652482,0.913120567375885,213.400229166689,209.252083333355,217.158333333356
1600,0.897273936170211,0.87987588652482,0.913120567375885,213.389687500022,209.252083333355,217.158333333356
1601,0.897273936170211,0.87987588652482,0.913120567375885,213.389687500022,209.252083333355,217.158333333356
1602,0.897229609929076,0.87987588652482,0.913120567375885,213.379145833355,209.252083333355,217.158333333356
1603,0.897163120567374,0.879432624113473,0.913120567375885,213.363333333355,209.146666666688,217.158333333356
1604,0.897140957446807,0.879432624113473,0.913120567375885,213.358062500022,209.146666666688,217.158333333356
1605,0.897118794326239,0.879432624113473,0.913120567375885,213.352791666689,209.146666666688,217.158333333356
1606,0.897118794326239,0.879432624113473,0.913120567375885,213.352791666689,209.146666666688,217.158333333356
1607,0.897052304964537,0.879432624113473,0.913120567375885,213.336979166689,209.146666666688,217.158333333356
1608,0.89703014184397,0.879432624113473,0.913120567375885,213.331708333355,209.146666666688,217.158333333356
1609,0.896963652482268,0.879432624113473,0.913120567375885,213.315895833355,209.146666666688,217.158333333356
1610,0.896963652482268,0.879432624113473,0.913120567375885,213.315895833355,209.146666666688,217.158333333356
1611,0.8969414893617,0.879432624113473,0.913120567375885,213.310625000022,209.146666666688,217.158333333356
1612,0.896919326241133,0.879432624113473,0.913120567375885,213.305354166689,209.146666666688,217.158333333356
1613,0.896830673758863,0.879432624113473,0.912677304964537,213.284270833355,209.146666666688,217.052916666689
1614,0.896830673758863,0.879432624113473,0.912677304964537,213.284270833355,209.146666666688,217.052916666689
1615,0.896786347517729,0.878989361702125,0.912677304964537,213.273729166689,209.041250000022,217.052916666689
